0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.0,4438.72,5633.3,7962.9,8159.96,8357.87,3515.83,2376.02,1165.12,271.74,290.45,0.0,1056.36,1997.6,4482.14,3924.5,4264.48,8038.56,8150.2,2636.58,3990.02,2790.07,3487.67,4637.43,3962.14,4032.1,3486.06,3484.38,572.17,1123.72,4595.34,2386.75,3250.93,3462.03,2931.47,4785.34,4279.36,3902.37,4305.57,4112.29,4090.99,4595.34,2248.16,1108.3,1380.35,1380.35,2337.38,4768.14,3385.93,1091.9
671.56,3718.33,5598.91,7928.51,8125.57,8323.48,3148.92,2348.66,1518.13,829.2,798.3,669.57,0.0,2667.59,3972.41,6485.14,3957.64,4213.63,4325.27,1916.2,3269.63,2069.68,3460.3,3917.04,3452.41,3522.37,3458.7,3457.02,969.01,942.58,3471.45,1811.44,2675.62,2952.3,2356.15,4064.96,3558.97,3181.98,3795.84,3391.9,3370.61,3471.45,1527.77,1461.31,1733.36,1733.36,1616.99,4258.41,3019.01,1761.9
867.4,5032.06,6025.47,8355.06,8552.12,8750.04,4159.99,3020.18,105.12,1127.27,641.22,865.4,1326.83,0.0,4647.67,6911.69,7090.17,8430.73,8542.37,3229.92,4420.54,3383.41,6313.36,5230.77,4127.67,4197.63,4130.22,4128.54,697.42,1399.63,4760.87,3125.17,3989.34,3627.56,3680.85,5252.58,4746.59,4495.7,4471.1,4489.38,4468.08,4760.87,2841.5,281.11,556.61,556.61,2930.72,4933.67,4030.08,572.36
4175.05,2076.63,4561.37,1488.78,1685.84,1750.75,2667.53,2897.35,4512.18,4332.69,4243.97,4173.06,3564.68,4988.14,0.0,5447.59,3225.24,1296.46,1325.25,2358.28,400.78,1763.58,4021.36,2059.26,477.9,484.99,3402.89,3401.22,4352.29,3582.78,539.8,2426.83,2398.27,1972.9,2026.19,1754.75,1248.76,2967.08,411.07,728.47,651.66,539.8,2873.61,4455.37,4400.99,4400.99,2196.61,567.77,2537.63,4835.82
4059.49,3888.94,941.62,5887.14,6084.2,6282.11,2412.62,1668.46,4720.89,3735.11,4086.17,4057.49,3900.73,5063.31,3809.61,0.0,3134.07,5962.8,6074.44,3114.21,3474.07,2985.74,2357.26,4087.65,3733.42,3740.51,2328.43,2326.75,3977.33,4330.51,3675.88,3648.99,3683.76,4164.72,3311.69,4513.04,3763.4,3352.59,4013.98,3596.33,3575.04,3675.88,2896.28,4664.07,4936.12,4936.12,2683.43,4169.44,2282.72,4157.62
6197.59,1547.06,2494.6,3509.28,3706.34,3503.78,2239.36,2216.52,5158.7,5873.21,6224.27,6195.59,3907.66,7201.41,3404.46,3380.83,0.0,3248.15,3359.79,2712.63,3068.92,2569.28,899.14,1745.78,3328.27,3335.37,2722.06,2720.39,6115.43,4229.29,3270.73,3232.53,3267.3,3748.26,2895.23,2171.16,2097.81,1566.29,3608.84,3191.18,3169.89,3270.73,3227.96,5101.88,5047.51,5047.51,2536.45,4014.6,2094.73,6295.72
7585.13,2077.79,3899.07,602.54,799.6,864.51,4296.92,4274.08,8246.54,7260.75,7611.82,7583.13,7451.12,8588.95,1005.06,4785.3,3226.4,0.0,111.73,2935.01,1389.8,2340.31,3359.07,2060.42,1466.92,1474.01,4990.5,4988.82,7502.97,4302.38,1070.45,3003.56,3117.87,2692.5,2745.79,1755.91,1249.92,2968.24,1400.09,902.56,1182.3,1070.45,3450.34,8189.72,8461.77,8461.77,2773.34,1107.86,4152.28,7683.26
7613.93,2511.26,3927.87,631.33,828.39,893.31,4325.71,4302.87,8275.33,7289.55,7640.62,7611.93,7479.91,8617.75,1116.7,4814.09,3659.87,111.73,0.0,3046.65,1865.54,2451.95,3387.86,2493.89,1942.65,1949.74,5019.3,5017.62,7531.77,4414.02,1182.09,3115.2,3229.51,2804.15,2857.44,2189.38,1683.39,3401.71,1873.5,1014.2,1293.94,1182.09,3561.98,8218.52,8490.57,8490.57,2884.98,1136.66,4181.08,7712.06
2940.78,1802.14,2912.16,2787.93,2984.99,2782.43,1232.72,1462.54,3439.65,3098.42,3171.44,2938.79,2188.61,4032.05,1688.98,2406.52,2041.44,2297.44,2409.08,0.0,1353.44,865.11,1961.93,2000.85,1612.8,1619.89,1968.08,1966.4,3279.76,2510.25,1555.26,1528.36,1563.14,2044.1,1191.06,2148.77,1642.78,1265.79,1893.36,1475.71,1454.41,1555.26,974.65,3382.84,3328.46,3328.46,761.8,2048.82,1102.82,3763.29
4034.06,1985.57,4470.31,1624.02,1821.08,1885.99,2526.54,2756.36,4371.19,4191.69,4102.97,4032.06,3423.69,4847.14,335.54,5356.54,3134.18,1431.7,1460.5,2217.28,0.0,1622.59,3930.31,1968.2,336.9,344.0,3261.9,3260.22,4211.3,3441.78,448.75,2285.84,2257.28,1831.91,1885.2,1663.69,1157.7,2876.02,546.31,637.41,560.6,448.75,2732.62,4314.37,4260.0,4260.0,2055.61,703.01,2396.64,4694.83
